,曲名,収録CD,リリース年,タイアップ、備考,クレジット,タイプ,再生回数,収録回数,再生回数_日付
138,シリウス,"Dream""A""live",2008,,作詞：UNITe / 作曲：小林建樹 / 編曲：石塚知生,アルバム,1,0,2024/11/24 12:02:22
139,Flashback,"Dream""A""live",2008,,作詞：小川貴史 / Rap詞：櫻井翔 / 作曲：今井晶規 / 編曲：安部潤,アルバム,1,0,2024/11/24 12:02:22
140,Dive into the future,"Dream""A""live",2008,,"作詞：UNITe / 作曲：Mattias Hakansson, Carl Utbult, Anton Malmberg / 編曲：岩田雅之",アルバム,1,0,2024/11/24 12:02:22
141,声,"Dream""A""live",2008,,作詞：小川貴史 / 作曲：多田慎也 / 編曲：NAOKI-T,アルバム,1,0,2024/11/24 12:02:22
142,My Answer,"Dream""A""live",2008,,作詞：作曲・編曲：笹本安詞 / Rap詞：櫻井翔,アルバム,28,0,2024/11/24 12:02:22
143,Life goes on,"Dream""A""live",2008,,作詞：多田慎也 / 作曲・編曲：岩田雅之,アルバム,6,0,2024/11/24 12:02:22
144,YOUR SONG,"Dream""A""live",2008,観光立国ナビゲーター 観光大使 Arashi Message from Japan CMソング,作詞・作曲：杉山勝彦 / 編曲：高橋哲也,アルバム,8,0,2024/11/24 12:02:22
145,Once Again,"Dream""A""live",2008,,"作詞：Wonderland / Rap詞：櫻井翔 / 作曲：Alfred Tuohey, Thanh Bui / 編曲：CHOKKAKU",アルバム,1,0,2024/11/24 12:02:22
146,Re(mark)able,ARASHI IS ALIVE! | All the BEST! 1999-2009 | ウラ嵐マニア,2008,,作詞：R.P.P / All Rap presented by 櫻井翔 / 作曲・編曲：吉岡たく,アルバム,553,3,2024/11/24 12:02:22
147,Green,ウラ嵐マニア,2008,日本テレビ系「ズームイン!!SUPER×NEWS ZERO Touch! eco 2009」テーマソング,作詞：嵐 / 作曲：youth case / 編曲：ha-j,アルバム,87,1,2024/11/24 12:02:22
148,COOL & SOUL for DOME07,Step and Go『Special Cu[9]bic Box』,2008,,作詞：SPIN / All Rap presented by 櫻井翔 / 作曲・編曲：吉岡たく,カップリング,465,1,2024/11/24 12:02:22
149,Believe,Believe/曇りのち、快晴,2009,映画「ヤッターマン」主題歌,作詞・作曲：100+ / Rap詞：櫻井翔 / 編曲：吉岡たく,シングル,696,12,2024/11/24 12:02:22
150,トビラ,Believe/曇りのち、快晴 | ウラ嵐マニア,2009,,作詞：Makoto ATOZI / 作曲：多田慎也 / 編曲：NAOKI-T,カップリング,47,0,2024/11/24 12:02:22
151,明日の記憶,明日の記憶/Crazy Moon～キミ・ハ・ムテキ～,2009,日本テレビ系ドラマ「ザ・クイズショウ」主題歌,"作詞・作曲：平義隆 / 編曲：石塚知生, 佐々木博史",シングル,34,3,2024/11/24 12:02:22
152,Crazy Moon～キミ・ハ・ムテキ～,明日の記憶/Crazy Moon～キミ・ハ・ムテキ～,2009,コーセー「エスプリーク・プレシャス」CMソング,作詞：Soluna / 作曲・編曲：HYPER SLIPPER,シングル,266,6,2024/11/24 12:02:22
153,5×10,All the BEST! 1999-2009,2009,,作詞：嵐 / 作曲：youth case / 編曲：ha-j,アルバム,142,6,2024/11/24 12:02:22
154,Attack it!,All the BEST! 1999-2009,2009,,作詞：Shun / All Rap presented by 櫻井翔 / 作曲：吉岡たく,アルバム,272,5,2024/11/24 12:02:22
155,Everything,Everything | 僕の見ている風景,2009,au by KDDI「もし僕らが、嵐でなかったら。去年の違う夏。」CMソング,作詞：100+ / 作曲：Shingo Asari / 編曲：ISB,シングル,134,7,2024/11/24 12:02:22
156,season,Everything | ウラ嵐マニア,2009,au by KDDI「もし僕らが、嵐でなかったら。」CMソング,作詞・作曲：youth case / 編曲：石塚知生,カップリング,284,4,2024/11/24 12:02:22
157,マイガール,マイガール | 僕の見ている風景,2009,テレビ朝日系ドラマ「マイガール」主題歌,作詞：Wonderland / 作曲：多田慎也 / 編曲：NAOKI-T,シングル,97,9,2024/11/24 12:02:22
158,時計じかけのアンブレラ,マイガール | ウラ嵐マニア,2009,フジテレビ系ドラマ「0号室の客」主題歌,"作詞：Sean-D / Rap詞：櫻井翔 / 作曲：Fredrik Hult, Robin Fredriksson, Mattias Larsson / 編曲：Hisashi Nawata, Fredrik Hult, Robin Fredriksson, Mattias Larsson",カップリング,178,3,2024/11/24 12:02:22
159,スーパーフレッシュ,マイガール | ウラ嵐マニア,2009,,"作詞：Shigeo, Shun / 作曲・編曲：Shigeo",カップリング,5,1,2024/11/24 12:02:22
160,Troublemaker,Troublemaker | 僕の見ている風景,2010,TBS系ドラマ「特上カバチ!!」主題歌,作詞：H.Suzuki / 作曲：Masashi Ohtsuki / 編曲：ha-j,シングル,881,15,2024/11/24 12:02:22
161,揺らせ、今を,Troublemaker | ウラ嵐マニア,2010,日本テレビ系「ズームイン!!SUPER」冬のテーマソング/バンクーバーオリンピック中継テーマソング,作詞・作曲・編曲：100+,カップリング,261,1,2024/11/24 12:02:22
162,もう一歩,Troublemaker | ウラ嵐マニア,2010,,作詞・作曲・編曲：sts,カップリング,2,0,2024/11/24 12:02:22
163,Monster,Monster | 僕の見ている風景,2010,日本テレビ系ドラマ「怪物くん」/映画「映画 怪物くん」主題歌,"作詞：UNIte, Sean-D / 作曲：CHI-MEY / 編曲：Taku Yoshioka, Hirofumi Sasaki",シングル,134,11,2024/11/24 12:02:22
164,スパイラル,Monster | ウラ嵐マニア,2010,,作詞：小川貴史 / Rap詞：櫻井翔 / 作曲：三留一純 / 編曲：ha-j,カップリング,255,0,2024/11/24 12:02:22
165,To be free,To be free | Beautiful World,2010,アサヒ飲料「三ツ矢サイダー」CMソング,"作詞：Soluna / 作曲：Samuel Waermo, Octobar / 編曲：Samuel Waermo, 吉岡たく",シングル,69,2,2024/11/24 12:02:22
166,Løve Rainbow,Løve Rainbow | Beautiful World,2010,フジテレビ系ドラマ「夏の恋は虹色に輝く」主題歌,"作詞：furaha, Octobar / 作曲：iiiSAK, Dyce Taylor / 編曲：ha-j",シングル,347,9,2024/11/24 12:02:22
167,over,Løve Rainbow | ウラ嵐マニア,2010,,作詞：みうらともかず / 作曲：HIKARI / 編曲：佐々木博史,カップリング,1,0,2024/11/24 12:02:22
168,Dear Snow,Dear Snow | Beautiful World,2010,映画「大奥」主題歌,"作詞：伊織, ISHU / 作曲：Kohsuke Ohshima / 編曲：宮野幸子, 吉岡たく",シングル,86,1,2024/11/24 12:02:22
169,タイムカプセル,Dear Snow | ウラ嵐マニア,2010,,作詞・作曲・編曲：SIX,カップリング,25,1,2024/11/24 12:02:22
170,果てない空,果てない空 | Beautiful World,2010,フジテレビ系ドラマ「フリーター、家を買う。」主題歌,作詞・作曲：QQ / 編曲：ha-j,シングル,107,8,2024/11/24 12:02:22
171,STORY,果てない空 | ウラ嵐マニア,2010,,"作詞：小川貴史, alt / 作曲：オオバコウスケ / 編曲：吉岡たく",カップリング,25,0,2024/11/24 12:02:22
172,maboroshi,果てない空 | ウラ嵐マニア,2010,,作詞・作曲：小林健樹 / 編曲：宮野幸子,カップリング,1,0,2024/11/24 12:02:22
173,あの日のメリークリスマス,果てない空 | ウラ嵐マニア,2010,,作詞：Soluna / 作曲：Takuya Harada / 編曲：佐々木博史,カップリング,2,0,2024/11/24 12:02:22
174,movin' on,僕の見ている風景,2010,JAL「感謝を行動に」CMソング/JAL「嵐ジェット」テーマソング,"作詞：みうらともかず, 小川貴史 / Rap詞：櫻井翔 / 作曲：Dr Hardcastle, Dice Taylor, youwhich / 編曲：youwhich",アルバム,542,2,2024/11/24 12:02:22
175,マダ上ヲ,僕の見ている風景,2010,,"作詞：小川貴史, HYDRANT / Rap詞：櫻井翔 / 作曲：Dapo Torimiro, Drew Ryan Scott / 編曲：吉岡たく, 佐々木博史",アルバム,169,1,2024/11/24 12:02:22
176,リフレイン,僕の見ている風景,2010,,作詞・作曲・編曲：R.P.P.,アルバム,139,3,2024/11/24 12:02:22
177,サーカス,僕の見ている風景,2010,,"作詞：Soluna / 作曲：iiiSAK, HYDRANT / 編曲：youwhich",アルバム,8,2,2024/11/24 12:02:22
178,ギフト,僕の見ている風景,2010,,作詞・作曲：作田雅弥 / 編曲：ha-j,アルバム,6,1,2024/11/24 12:02:22
179,let me down,僕の見ている風景,2010,,作詞・作曲・編曲：田中直 / Rap詞：櫻井翔,アルバム,450,2,2024/11/24 12:02:22
180,Don't Stop,僕の見ている風景,2010,,作詞：伊那村さちこ / 作曲：三留一純 / 編曲：Dr Hardcastle,アルバム,83,1,2024/11/24 12:02:22
181,むかえに行くよ,僕の見ている風景,2010,,作詞・作曲・編曲：マシコタツロウ,アルバム,9,1,2024/11/24 12:02:22
182,空高く,僕の見ている風景,2010,フジテレビ系ドラマ「最後の約束」主題歌,作詞：Sean-D / Rap詞：櫻井翔 / 作曲：Yuichi Yagi / 編曲：Hisashi Nawata,アルバム,216,2,2024/11/24 12:02:22
183,kagerô,僕の見ている風景,2010,,作詞：Soluna / 作曲：小林健樹 / 編曲：ha-j,アルバム,20,2,2024/11/24 12:02:22
184,Summer Splash!,僕の見ている風景,2010,JAL「JALわくわくアロハ計画2010」編 CMソング,作詞・作曲・編曲：The仙台セピア / Rap詞：櫻井翔,アルバム,579,7,2024/11/24 12:02:22
185,Lotus,Lotus | Beautiful World,2011,テレビ朝日系ドラマ「バーテンダー」主題歌,"作詞：Soluna / 作曲：iiiSAK, HYDRANT / 編曲：佐々木博史, iiiSAK",シングル,77,1,2024/11/24 12:02:22
186,ever,Lotus | ウラ嵐マニア,2011,,"作詞：作田雅弥, alt / 作曲：大島こうすけ / 編曲：石塚知生",カップリング,1,0,2024/11/24 12:02:22
187,Boom Boom,Lotus | ウラ嵐マニア,2011,,"作詞：100+ / Rap詞：櫻井翔 / 作曲：Erik Lidbom, Jon Hällgren / 編曲：吉岡たく",カップリング,47,0,2024/11/24 12:02:22
188,迷宮ラブソング,迷宮ラブソング | Popcorn,2011,フジテレビ系ドラマ「謎解きはディナーのあとで」主題歌/映画「映画 謎解きはディナーのあとで」主題歌,"作詞：伊織 / 作曲：iiiSAK, Dyce Taylor / 編曲：Trevor Ingram",シングル,603,11,2024/11/24 12:02:22
189,消えぬ想い,迷宮ラブソング | ウラ嵐マニア,2011,,"作詞：alt / 作曲・編曲：市川喜康, マシコタツロウ, ha-j",カップリング,1,0,2024/11/24 12:02:22
190,"together, forever",迷宮ラブソング | ウラ嵐マニア,2011,,作詞・作曲：100+ / 編曲：佐々木博史,カップリング,3,0,2024/11/24 12:02:22
191,うたかた,迷宮ラブソング | ウラ嵐マニア,2011,,"作詞：R.P.P. / Rap詞：櫻井翔 / 作曲：youwhich, Dyce Taylor / 編曲：youwhich",カップリング,239,0,2024/11/24 12:02:22
192,wanna be...,迷宮ラブソング | ウラ嵐マニア,2011,,"作詞：伊織, Soluna / 作曲：大島こうすけ / 編曲：吉岡たく",カップリング,1,0,2024/11/24 12:02:22
193,Rock this,Beauitful World,2011,,"作詞：100+ / Rap詞：櫻井翔 / 作曲：Dele Ladimeji, Paul Boddy / 編曲：吉岡たく",アルバム,94,1,2024/11/24 12:02:22
194,まだ見ぬ世界へ,Beauitful World,2011,,"作詞：Soluna / Rap詞：櫻井翔 / 作曲：R.P.P., iiiSAK / 編曲：iiiSAK, 吉岡たく",アルバム,621,1,2024/11/24 12:02:22
195,always,Beauitful World,2011,,"作詞：100+ / 作曲：Dyce Taylor, Andreas Johansson / 編曲：youwhich",アルバム,26,1,2024/11/24 12:02:22
196,"虹のカケラ～no rain, no rainbow～",Beauitful World,2011,,"作詞：Osami, Octobar / 作曲：Carl Utbult, Chris Meyer, Taisho / 編曲：石塚知生",アルバム,103,1,2024/11/24 12:02:22
197,Joy,Beauitful World,2011,,"作詞：小川貴史, alt / Rap詞：櫻井翔 / 作曲：Duke Ashton, Sherrie Ashton / 編曲：石塚知生",アルバム,61,0,2024/11/24 12:02:22
198,negai,Beauitful World,2011,,"作詞：furaha / 作曲：iiiSAK, Dyce Taylor / 編曲：宮野幸子, iiiSAK",アルバム,98,0,2024/11/24 12:02:22
199,morning light,Beauitful World,2011,,"作詞：UNIte, Soluna / 作曲：Curly, Octobar / 編曲：Samuel Waermo, 吉岡たく",アルバム,6,1,2024/11/24 12:02:22
200,遠くまで,Beauitful World,2011,JAL「嵐、JALで、夏旅。」CMソング,"作詞：小川貴史 / 作曲：Erik Lidbom, Dyce Taylor / 編曲：佐々木博史",アルバム,165,2,2024/11/24 12:02:22
201,エナジーソング～絶好調超!!!!～,Beauitful World(セブンネットオリジナル盤),2011,,"作詞：嵐 / Rap詞：櫻井翔 / 作曲：二宮和也 / 編曲：ha-j, 二宮和也",アルバム,189,11,2024/11/24 12:02:22
202,ワイルド アット ハート,ワイルド アット ハート | Popcorn,2012,フジテレビ系ドラマ「ラッキーセブン」主題歌,"作詞：Soluna / 作曲：Chris Janey, Junior Jokinen / 編曲：Trevor Ingram",シングル,223,14,2024/11/24 12:02:22
203,How Can I Love,ワイルド アット ハート | ウラ嵐マニア,2012,,"作詞：Octobar / 作曲：iiiSAK, Anto Lindsjo / 編曲：ha-j",カップリング,1,0,2024/11/24 12:02:22
204,ついておいで,ワイルド アット ハート | ウラ嵐マニア,2012,,"作詞：Mi-n / 作曲：iiiSAK, Anto Lindsjo / 編曲：ha-j",カップリング,6,1,2024/11/24 12:02:22
205,ふたりのカタチ,ワイルド アット ハート | ウラ嵐マニア,2012,,作詞：須藤まゆみ / Rap詞：櫻井翔 / 作曲：三留一純 / 編曲：石塚知生,カップリング,15,0,2024/11/24 12:02:22
206,Face Down,Face Down | Popcorn,2012,フジテレビ系ドラマ「鍵のかかった部屋」主題歌,"作詞：eltvo / Rap詞：櫻井翔 / 作曲：Albi Albertsson, Royce.H, Vincent Stein, Kontantin Scherer / 編曲：metropolitan digital clique, Vincent Stein, Kontantin Scherer",シングル,341,6,2024/11/24 12:02:22
207,ひとりじゃないさ,Face Down | ウラ嵐マニア,2012,,作詞：Task / 作曲：Shingo Asari / 編曲：Hirofumi Sasaki,カップリング,5,0,2024/11/24 12:02:22
208,目指した未来へ,Face Down | ウラ嵐マニア,2012,,"作詞：Mi-n, alleztune / 作曲・編曲：HIKARI",カップリング,3,0,2024/11/24 12:02:22
209,Your Eyes,Your Eyes | Popcorn,2012,日本テレビ系ドラマ「三毛猫ホームズの推理」主題歌,"作詞：hs / 作曲：Chris Janey, Max Grant / 編曲：Tomoki Ishizuka",シングル,27,2,2024/11/24 12:02:22
210,君がいるから,Your Eyes | ウラ嵐マニア,2012,,作詞・作曲：eltvo / 編曲：Taku Yoshioka,カップリング,62,1,2024/11/24 12:02:22
211,花火,Your Eyes | ウラ嵐マニア,2012,,"作詞・作曲：Tatsuro Mashiko / 編曲：Sachiko Miyano, Tatsuto Mashiko",カップリング,142,0,2024/11/24 12:02:22
212,voice,Your Eyes | ウラ嵐マニア,2012,,作詞：alt / 作曲：TAKAMASA SEGI / 編曲：Hirofumi Sasaki,カップリング,2,1,2024/11/24 12:02:22
213,Welcome to our party,Popcorn,2012,,"作詞：Soluna, Shun / Rap詞：櫻井翔 / 作曲：Stephan Elfgran, Conor Edwards, Junior Jokinen / 編曲：吉岡たく",アルバム,290,3,2024/11/24 12:02:22
214,駆け抜けろ!,Popcorn,2012,日産自動車「セレナS-HYBRID」CMソング,"作詞：S-Tnk / 作曲：Takuya Harada, Samuli Laiho, Ressi Levanto / 編曲：石塚知生",アルバム,52,1,2024/11/24 12:02:22
215,Waiting for you,Popcorn,2012,,"作詞：Soluna / 作曲：Octobar, iiiSAK / 編曲：吉岡たく, 宮野幸子",アルバム,9,1,2024/11/24 12:02:22
216,旅は続くよ,Popcorn,2012,,"作詞：furaha / Rap詞：櫻井翔 / 作曲：curly, youwhich / 編曲：youwhich",アルバム,160,1,2024/11/24 12:02:22
217,Cosmos,Popcorn,2012,,"作詞：pause, eltvo / Rap詞：櫻井翔 / 作曲：Erik Lidbom / 編曲：佐々木博史",アルバム,29,1,2024/11/24 12:02:22
218,証,Popcorn,2012,日本テレビ系「ロンドン2012」テーマソング,作詞・作曲：QQ / 編曲：ha-j,アルバム,16,2,2024/11/24 12:02:22
219,Up to you,Popcorn,2012,,"作詞：伊織, 100+ / Rap詞：櫻井翔 / 作曲：Wet disk, Christofer Erixon, Joakim Bjömberg / 編曲：metropolitan digital clique",アルバム,245,2,2024/11/24 12:02:22
220,Calling,Calling/Breathless | LOVE,2013,フジテレビ系ドラマ「ラストホープ」主題歌,"作詞：s-Tnk, eltvo / 作曲：Andreas Johansson, youwhich / 編曲：石塚知生",シングル,34,3,2024/11/24 12:02:22
221,Breathless,Calling/Breathless | LOVE,2013,映画「プラチナデータ」主題歌,"作詞：HYDRANT / 作曲：Takuya Harada, Christofer Erixon, Joakim Björnberg / 編曲：佐々木博史",シングル,72,5,2024/11/24 12:02:22
222,オーライ!!,Calling/Breathless,2013,,"作詞：Soluna / 作曲：Fredrik ""Figge"" Boström / 編曲：Trevor Ingram",カップリング,10,0,2024/11/24 12:02:22
223,full of love,Calling/Breathless,2013,,"作詞：Shun, R.P.P. / 作曲：Dr.hardcastle, Iggy Strange-Dahl / 編曲：吉岡たく",カップリング,4,0,2024/11/24 12:02:22
224,Endless Game,Endless Game | LOVE,2013,フジテレビ系ドラマ「家族ゲーム」主題歌,"作詞：100+ / 作曲：Chris Janey, Dyce Taylor / 編曲：2H, Chris Janey",シングル,266,3,2024/11/24 12:02:22
225,Magic hour,Endless Game,2013,,"作詞：s-Tnk / 作曲：HJ &Co, Ryumei Odagi / 編曲：吉岡たく",カップリング,6,0,2024/11/24 12:02:22
226,Intergalactic,Endless Game,2013,,"作詞：Octobar / 作曲：Stephan Elfgren, eltvo / 編曲：Stephan Elfgren",カップリング,43,1,2024/11/24 12:02:22
227,モノクロ,Endless Game,2013,,"作詞：みうらともかず / 作曲：GK / 編曲：GK, 佐々木博史",カップリング,6,1,2024/11/24 12:02:22
228,愛を歌おう,LOVE,2013,,"作詞：SQUAREF, mfmsiQ, John World / Rap詞：櫻井翔 / 作曲：Benny Jansson / 編曲：佐々木博史",アルバム,20,1,2024/11/24 12:02:22
229,サヨナラのあとで,LOVE,2013,,"作詞：R.P.P. / 作曲：MiNE, Atsushi Shimada, Fredrilk Samsson / 編曲：吉岡たく",アルバム,11,1,2024/11/24 12:02:22
230,CONFUSION,LOVE,2013,,"作詞：Shigeo, Macoto56 / 作曲：Joe Killington, Katerina Bramley, Tim Worithington, Michael Conn / 編曲：石塚知生",アルバム,24,1,2024/11/24 12:02:22
231,P・A・R・A・D・O・X,LOVE,2013,,"作詞：AKIRA, H&Co., SQUAREF, s-Tnk / Rap詞：櫻井翔 / 作曲：James Bird, Olly Goodman, Michael Duke, Emma Rohan / 編曲：A.K.Janeway, 吉岡たく, James Bird, Olly Goodman, Michael Duke, Emma Rohan",アルバム,839,3,2024/11/24 12:02:22
232,Rock Tonight,LOVE,2013,,作詞・作曲：100+ / 編曲：BJ Khan,アルバム,56,1,2024/11/24 12:02:22
233,Starlight kiss,LOVE,2013,,"作詞：AKIRA, s-Tnk / Rap詞：櫻井翔 / 作曲：Fredrik ""Figge"" Boström, 川口進 / 編曲：川口進",アルバム,120,1,2024/11/24 12:02:22
234,FUNKY,LOVE,2013,,"作詞：mfmsiQ, s-Tnk、作曲：BJ Khan, Takuya Harada, Joakim Bjornberg, Christofer Erixon / 編曲：BJ Khan",アルバム,573,2,2024/11/24 12:02:22
235,Tears,LOVE,2013,,"作詞：小川貴史, SQUAREF / 作曲：加藤裕介 / 編曲：BJ Khan",アルバム,9,1,2024/11/24 12:02:22
236,Bittersweet,Bittersweet | THE DIGITALIAN,2014,フジテレビ系ドラマ「失恋ショコラティエ」主題歌,作詞・作曲：100+ / 編曲：石塚知生,シングル,575,4,2024/11/24 12:02:22
237,Road to Glory,Bittersweet,2014,日本テレビ系「ソチ2014」テーマソング,作詞：s-Tnk / 作曲：川口進 / 編曲：ha-j,カップリング,63,0,2024/11/24 12:02:22
238,Sync,Bittersweet,2014,,作詞：小川貴史 / Rap詞：櫻井翔 / 作曲：U-Key zone / 編曲：吉岡たく,カップリング,5,0,2024/11/24 12:02:22
239,もっと、いまより,Bittersweet,2014,,作詞・作曲：youth case / 編曲：BJ Khan,カップリング,13,0,2024/11/24 12:02:22
240,GUTS!,GUTS! | THE DIGITALIAN,2014,日本テレビ系ドラマ「弱くても勝てます〜青志先生とへっぽこ高校球児の野望〜」主題歌,"作詞：eltvo, s-Tnk / 作曲：SAKRA / 編曲：石塚知生",シングル,695,9,2024/11/24 12:02:22
241,Fly,GUTS!,2014,,作詞：HYDRANT / 作曲：YASUSHI WATANABE / 編曲：吉岡たく,カップリング,3,0,2024/11/24 12:02:22
242,君が笑えるように,GUTS!,2014,,"作詞：KOSH, Macoto56 / 作曲：KOSH / 編曲：ha-j",カップリング,10,0,2024/11/24 12:02:22
243,Love Wonderland,GUTS!,2014,,"作詞：AKIRA / 作曲・編曲：AKIRA, UTA",カップリング,100,1,2024/11/24 12:02:22
244,誰も知らない,誰も知らない | THE DIGITALIAN,2014,テレビ朝日系ドラマ「死神くん」主題歌,"作詞：mfmsiQ, SQUAREF, John World, 作田雅弥 / 作曲：TAKUYA HARADA, Joakim Bjornberg, Christofer Erixon, BJ khan / 編曲：佐々木博史, BJ Khan",シングル,56,2,2024/11/24 12:02:22
245,おかえり,誰も知らない,2014,,作詞・作曲：鈴木勝彦 / 編曲：石塚知生,カップリング,0,0,2024/11/24 12:02:22
246,Keep on tryin',誰も知らない,2014,,"作詞・作曲：GK, TOM / 編曲：GK",カップリング,4,0,2024/11/24 12:02:22
247,ミラクル・サマー,誰も知らない,2014,,"作詞：Macoto56 / 作曲：Christofer Erixon, Joakim Bjornberg, 川口進 / 編曲：metropolitan digital clique",カップリング,19,0,2024/11/24 12:02:22
248,Zero-G,THE DIGITALIAN,2014,,"作詞：梶ヶ谷翔太, eltvo / 作曲：Takuya Harada / 編曲：石塚知生",アルバム,614,2,2024/11/24 12:02:22
249,Wonderful,THE DIGITALIAN,2014,,"作詞：ASIL, Masa Fujise, John World, SQUAREF / 作曲：James Winchester, Peter Boyes, Christopher Wortley / 編曲：Slice of Life",アルバム,26,1,2024/11/24 12:02:22
250,Tell me why,THE DIGITALIAN,2014,,"作詞：SQUAREF, mfmsiQ, John World / Rap詞：櫻井翔 / 作曲：Andreas Johansson, STEVEN LEE / 編曲：A.K.Janeway",アルバム,84,1,2024/11/24 12:02:22
251,Asterisk,THE DIGITALIAN,2014,,作詞・作曲・編曲：100+ / Rap詞：櫻井翔,アルバム,290,1,2024/11/24 12:02:22
252,TRAP,THE DIGITALIAN,2014,,"作詞：AKIRA / 作曲：AKIRA, UTA / 編曲：吉岡たく",アルバム,30,1,2024/11/24 12:02:22
253,キミの夢を見ていた,THE DIGITALIAN,2014,,作詞・作曲：HYDRANT / 編曲：佐々木博史,アルバム,82,1,2024/11/24 12:02:22
254,One Step,THE DIGITALIAN,2014,,作詞：s-Tnk / 作曲：Mats Tarnfors / 編曲：佐々木博史,アルバム,23,1,2024/11/24 12:02:22
255,Hope in the darkness,THE DIGITALIAN,2014,,"作詞：小川貴史, HYDRANT / 作曲：David Keiffer Johnston, Wesley Steed, Sigurdur Kristinn Sigtryggsson pka Siggi / 編曲：metropolitan digital clique, A-bee",アルバム,19,1,2024/11/24 12:02:22
256,Take Off!!!!!,THE DIGITALIAN,2014,,作詞：櫻井翔 / 作曲・編曲：Stephan Elfgren,アルバム,433,1,2024/11/24 12:02:22
257,Sakura,Sakura | Japonism,2015,TBS系ドラマ「ウロボロス〜この愛こそ、正義。」主題歌,作詞・作曲：eltvo / 編曲：佐々木博史,シングル,145,6,2024/11/24 12:02:22
258,Rise and Shine,Sakura,2015,,"作詞：100+, mfmsiQ, John World / 作曲：Erik Lidbom, youwhich / 編曲：石塚知生",カップリング,2,0,2024/11/24 12:02:22
259,同じ空の下で,Sakura,2015,,作詞・作曲・編曲：Trevor Ingram,カップリング,0,0,2024/11/24 12:02:22
260,more and more,Sakura,2015,,"作詞：HYDRANT / 作曲：Daniel Sherman, Katerina Bramley, Robert Hanna / 編曲：吉岡たく",カップリング,0,0,2024/11/24 12:02:22
261,青空の下、キミのとなり,青空の下、キミのとなり | Japonism,2015,フジテレビ系ドラマ「ようこそ、わが家へ」主題歌,"作詞：wonder note, s-Tnk / 作曲：Gigi, wonder note / 編曲：metoropolitan digital clique",シングル,33,4,2024/11/24 12:02:22
262,Dandelion,青空の下、キミのとなり,2015,,"作詞：ASIL, Macoto56 / 作曲：AKJ & ASIL / 編曲：A.K．Janeway",カップリング,3,0,2024/11/24 12:02:22
263,この手のひらに,青空の下、キミのとなり,2015,,"作詞：佐伯youthK, SQUAREF, John World / 作曲：Supercharge, 佐伯youthK / 編曲：吉岡たく",カップリング,3,0,2024/11/24 12:02:22
264,何度だって,青空の下、キミのとなり,2015,,作詞・作曲・編曲：youth case,カップリング,2,0,2024/11/24 12:02:22
265,愛を叫べ,愛を叫べ | Are You Happy?,2015,リクルート ゼクシィ CMソング ,"作詞・作曲：100+ / 編曲：100+, 佐々木博史",シングル,74,5,2024/11/24 12:02:22
266,ユメニカケル,愛を叫べ,2015,JAL2015キャンペーンソング/JAL「JAL FLY to 2020」CMソング,"作詞：古川貴浩, 小川貴史, John World / 作曲：古川貴浩 / 編曲：ha-j",カップリング,113,3,2024/11/24 12:02:22
267,Mr.Lonely,愛を叫べ,2015,,"作詞：Pink Wolf, Trevor Ingram / 作曲：Trevor Ingram, kanata Okajima, Stephen Rudden / 編曲：Trevor Ingram, A.K.Janeway",カップリング,40,0,2024/11/24 12:02:22
268,It's good to be bad,愛を叫べ,2015,,"作詞：Shigeo, eltvo / 作曲：Gigi, wonder note / 編曲：Octobar",カップリング,1,0,2024/11/24 12:02:22
269,I say,愛を叫べ,2015,,"作詞：みうらともかず / 作曲：sk-etch, BERT, ROLF / 編曲：sk-etch",カップリング,1,0,2024/11/24 12:02:22
270,心の空,Japonism,2015,,作詞・作曲・編曲：布袋寅泰 / Rap詞：櫻井翔,アルバム,211,2,2024/11/24 12:02:22
271,君への想い,Japonism,2015,,"作詞：wonder note, Macoto56 / Rap詞：櫻井翔 / 作曲：wonder note / 編曲：石塚知生",アルバム,31,1,2024/11/24 12:02:22
272,miyabi-night,Japonism,2015,,"作詞：Macoto56, AKJ & ASIL / 作曲：AKJ & ASIL / 編曲：A.K.Janeway",アルバム,27,2,2024/11/24 12:02:22
273,三日月,Japonism,2015,,作詞：youth case / 作曲・編曲：A-bee,アルバム,5,1,2024/11/24 12:02:22
274,Bolero!,Japonism,2015,,作詞・作曲：SAKRA / 編曲：Slice of Life,アルバム,7,2,2024/11/24 12:02:22
275,イン・ザ・ルーム,Japonism,2015,,作詞：小川貴史 / Rap詞：櫻井翔 / 作曲・編曲：Jeremy Hammond,アルバム,59,2,2024/11/24 12:02:22
276,マスカレード,Japonism,2015,,作詞・作曲：HYDRANT / 編曲：船山基紀,アルバム,41,2,2024/11/24 12:02:22
277,伝えたいこと,Japonism,2015,,"作詞：ASIL, s-Tnk / 作曲： Fredrik ""Figge"" Boström, Susumu Kawaguchi / 編曲：pieni tonttu",アルバム,10,0,2024/11/24 12:02:22
278,Japonesque,Japonism,2015,,"作詞：MiNE, R.P.P / 作曲：sk-etch, MiNE / 編曲：ha-j, sk-etch",アルバム,310,2,2024/11/24 12:02:22
279,日本よいとこ摩訶不思議,Japonism,2015,少年隊 カバー,作詞・作曲：野村義男 / 編曲：佐々木博史,アルバム,10,1,2024/11/24 12:02:22
280,僕らがつないでいく,Japonism,2015,,"作詞：SQUAREF, John World / 作曲：Pippi Svensson, Josef Melin / 編曲：BJ Khan",アルバム,6,2,2024/11/24 12:02:22
